,nome,cpf,idade,data,endereco,estado,pais
0,Apollo Carvalho,,56,29/05/1968,,,Brasil
1,Maria Luiza Costela,420.765.138-17,31,03/11/1992,"Trecho de da Luz, 89
Providencia
46408688 Cavalcanti do Oeste / AL",Sergipe,Brasil
2,Maria Eduarda Albuquerque,563.912.487-37,31,06/03/1993,"Viaduto de Rezende
Estoril
74526-330 da Cruz do Galho / MS",Roraima,Brasil
3,Natália Peixoto,981.756.432-00,30,01/09/1993,"Recanto de Sousa, 1
Boa Vista
02334041 Vieira de Duarte / MA",Rio Grande do Norte,Brasil
4,João Miguel Silva,256.347.981-91,37,24/09/1986,"Ladeira da Cunha
Vila Nova Cachoeirinha 1ª Seção
61559035 Silva de Goiás / ES",Espírito Santo,Brasil
5,Manuella da Cunha,793.210.548-04,32,21/08/1991,"Loteamento de Pereira, 97
Vila Nova Paraíso
35788-115 Cirino / MA",Pará,Brasil
6,Caio Cavalcante,657.281.409-20,28,24/06/1996,"Condomínio de Machado
Inconfidência
96783-966 Viana / MA",Distrito Federal,Brasil
7,Carlos Eduardo Macedo,076.482.539-92,20,07/11/2003,"Vereda Camila Ramos, 38
Conjunto Bonsucesso
31874465 Pimenta de Cirino / PR",Amazonas,Brasil
8,Ana Beatriz Sousa,639.502.847-29,56,12/06/1968,"Morro Rodrigues, 50
Madre Gertrudes
21707-904 Dias / RR",Santa Catarina,Brasil
9,Vicente Silva,543.620.917-34,32,19/12/1991,"Vereda Nogueira, 77
Barão Homem De Melo 3ª Seção
71262-618 Fogaça / MA",Piauí,Brasil
10,Alícia Pastor,719.425.630-43,19,18/10/2004,"Chácara de Cunha, 18
São Benedito
31582-557 Jesus Verde / TO",Distrito Federal,Brasil
11,Theodoro Vieira,326.058.179-03,28,19/04/1996,"Chácara Clarice Sousa, 2
Nova Cachoeirinha
17311697 Caldeira de Minas / MA",Ceará,Brasil
12,Daniela Costela,628.470.159-49,51,18/01/1973,"Trecho Yan Fonseca
Vila São Dimas
60581-825 Novaes da Praia / AC",Espírito Santo,Brasil
13,Liam Vasconcelos,607.853.149-20,38,11/03/1986,"Trevo Ana Júlia da Cruz, 49
Alto Dos Pinheiros
05496135 Cirino de Costela / ES",Rio de Janeiro,Brasil
14,Pedro Miguel das Neves,602.745.918-20,23,13/04/2001,"Condomínio de Barros
Cidade Jardim Taquaril
50214100 Montenegro / SE",Tocantins,Brasil
15,Sra. Lara Pereira,461.037.528-17,55,07/04/1969,"Lagoa Albuquerque
Vila Oeste
13424-240 Costa / RJ",Piauí,Brasil
16,Davi Lucca Aragão,048.263.157-08,19,25/06/2005,"Avenida Isaac Costa
Nazare
83749-773 Camargo do Sul / MA",Minas Gerais,Brasil
17,Murilo Borges,567.423.089-74,47,11/03/1977,"Lagoa Pedro Duarte
Camargos
40357787 Andrade / RJ",Roraima,Brasil
18,Davi Lucca Pimenta,735.640.298-00,37,14/03/1987,"Estrada de Melo, 35
Havaí
81353479 Cavalcanti / MA",Paraná,Brasil
