nome,cpf,idade,data,endereco,estado
Maria Luiza Costela,420.765.138-17,31,1992-11-03,"trecho de da luz, 89
providencia
46408688 cavalcanti do oeste / al",SERGIPE
Natália Peixoto,981.756.432-00,30,1993-09-01,"recanto de sousa, 1
boa vista
02334041 vieira de duarte / ma",RIO GRANDE DO NORTE
João Miguel Silva,256.347.981-91,37,1986-09-24,"ladeira da cunha
vila nova cachoeirinha 1ª seção
61559035 silva de goiás / es",ESPÍRITO SANTO
Manuella Da Cunha,793.210.548-04,32,1991-08-21,"loteamento de pereira, 97
vila nova paraíso
35788-115 cirino / ma",PARÁ
Caio Cavalcante,657.281.409-20,28,1996-06-24,"condomínio de machado
inconfidência
96783-966 viana / ma",DISTRITO FEDERAL
Carlos Eduardo Macedo,076.482.539-92,20,2003-11-07,"vereda camila ramos, 38
conjunto bonsucesso
31874465 pimenta de cirino / pr",AMAZONAS
Ana Beatriz Sousa,639.502.847-29,56,1968-06-12,"morro rodrigues, 50
madre gertrudes
21707-904 dias / rr",SANTA CATARINA
Vicente Silva,543.620.917-34,32,1991-12-19,"vereda nogueira, 77
barão homem de melo 3ª seção
71262-618 fogaça / ma",PIAUÍ
Alícia Pastor,719.425.630-43,19,2004-10-18,"chácara de cunha, 18
são benedito
31582-557 jesus verde / to",DISTRITO FEDERAL
Theodoro Vieira,326.058.179-03,28,1996-04-19,"chácara clarice sousa, 2
nova cachoeirinha
17311697 caldeira de minas / ma",CEARÁ
Daniela Costela,628.470.159-49,51,1973-01-18,"trecho yan fonseca
vila são dimas
60581-825 novaes da praia / ac",ESPÍRITO SANTO
Liam Vasconcelos,607.853.149-20,38,1986-03-11,"trevo ana júlia da cruz, 49
alto dos pinheiros
05496135 cirino de costela / es",RIO DE JANEIRO
Pedro Miguel Das Neves,602.745.918-20,23,2001-04-13,"condomínio de barros
cidade jardim taquaril
50214100 montenegro / se",TOCANTINS
Sra. Lara Pereira,461.037.528-17,55,1969-04-07,"lagoa albuquerque
vila oeste
13424-240 costa / rj",PIAUÍ
Davi Lucca Aragão,048.263.157-08,19,2005-06-25,"avenida isaac costa
nazare
83749-773 camargo do sul / ma",MINAS GERAIS
Murilo Borges,567.423.089-74,47,1977-03-11,"lagoa pedro duarte
camargos
40357787 andrade / rj",RORAIMA
Davi Lucca Pimenta,735.640.298-00,37,1987-03-14,"estrada de melo, 35
havaí
81353479 cavalcanti / ma",PARANÁ
Luiz Fernando Câmara,154.387.092-97,49,1975-01-23,"alameda de machado, 70
mala e cuia
08576-954 campos de costa / ap",RORAIMA
Luna Siqueira,917.460.832-04,47,1976-10-30,"pátio fernando barbosa, 68
salgado filho
44144-341 guerra / rn",SÃO PAULO
